ID,FrameRdy,Stamp,Roll,Pitch,Yaw,LinAccX,LinAccY,LinAccZ,AngVelX,AngVelY,AngVelZ,PoseX,PoseY,PoseZ,
3215,0,33.905,-0.0146919,-0.00250486,-0.00315875,0.00566962,0.0270619,-10.122,-0.55668,-0.00171661,-0.00105406,5.10362,5.0838,9.88273,
3216,0,33.916,-0.0195556,-0.00250332,-0.00313746,0.000105629,-0.0448581,-9.21598,-0.320481,0.00278239,-0.000187209,5.10459,5.08341,9.8828,
3217,0,33.925,-0.0193207,-0.00250095,-0.00313382,0.0026121,-0.0601429,-10.2258,0.306436,0.00130932,0.000756282,5.10459,5.08341,9.8828,
3218,0,33.937,-0.0129174,-0.00248285,-0.00303648,-0.00747996,-0.00144056,-10.0349,0.67658,-0.000459115,0.0106226,5.10319,5.08304,9.88279,
3219,0,33.946,-0.00795974,-0.00249442,-0.0029473,0.00397579,0.0549599,-9.39132,0.267941,-0.000728421,0.00271182,5.09859,5.08266,9.8828,
3220,1,33.962,-0.00874191,-0.00249728,-0.0029664,0.00420716,0.0676613,-10.6596,-0.363245,0.00181812,-0.00207336,5.09859,5.08266,9.8828,
3221,0,33.974,-0.016291,-0.00248732,-0.00306004,-0.000609735,-0.052778,-9.16357,-0.279146,0.00248903,-0.00711313,5.09822,5.0823,9.88283,
3222,0,33.984,-0.0152112,-0.00248793,-0.00313075,0.00298685,-0.0671564,-10.4145,0.417403,0.00284138,-0.00565445,5.09823,5.08196,9.8829,
3223,0,33.995,-0.00885006,-0.00249059,-0.00314687,-0.00816145,0.00710468,-9.69644,0.687225,-0.00334383,-0.00112251,5.09823,5.08196,9.8829,
3224,0,34.005,-0.00398714,-0.00251368,-0.00315217,0.00384746,0.0578286,-9.29642,0.243611,-0.00134325,-0.000125704,5.0936,5.08159,9.88293,
3225,0,34.015,-0.00508097,-0.00253689,-0.00314501,0.00406802,0.0692973,-10.6746,-0.396701,-0.000441399,0.00442153,5.09142,5.08124,9.88295,
3226,0,34.025,-0.0104752,-0.00256336,-0.00309957,-0.00512439,-0.0262555,-9.5154,-0.533334,-0.00586243,0.00230321,5.09142,5.08124,9.88295,
3227,0,34.035,-0.013305,-0.00259216,-0.0030601,0.000523982,-0.0590811,-9.4179,-0.0209471,-0.00312513,0.00390478,5.09237,5.0809,9.88305,
3228,0,34.046,-0.00999776,-0.00261594,-0.00304317,-0.00559403,-0.0472344,-10.5709,0.589714,-0.00522811,-0.00317905,5.09237,5.0809,9.88305,
3229,0,34.057,-0.0033747,-0.0026409,-0.00303959,0.00761703,0.0222423,-9.35697,0.603934,-0.000847052,-0.00295167,5.0889,5.08055,9.88305,
3230,1,34.066,-0.00025622,-0.00264308,-0.00307233,-0.00108828,0.0627429,-9.58955,0.0331934,-0.000326493,-0.00313645,5.08507,5.08024,9.88307,
3231,0,34.077,-0.00336925,-0.00264493,-0.00305166,-0.0055619,0.0302431,-10.3834,-0.5439,-0.00408999,0.00480766,5.08507,5.08024,9.88307,
3232,0,34.086,-0.00888298,-0.00265611,-0.00305865,0.00432845,-0.0256059,-9.24401,-0.444315,-0.000578155,-0.0034308,5.08572,5.07993,9.8831,
3233,0,34.097,-0.0101674,-0.00266884,-0.00307844,-0.000805136,-0.0618841,-9.80043,0.160188,-0.0029234,-0.00322838,5.08572,5.07993,9.8831,
3234,0,34.108,-0.00539114,-0.00269383,-0.00305151,0.00757535,-0.0343453,-10.2359,0.675761,-0.00044533,-0.00187273,5.08451,5.07962,9.88308,
3235,0,34.117,0.000765851,-0.00269604,-0.00303963,-0.00541668,0.0437622,-9.25387,0.46688,-0.000411159,-0.0022559,5.08451,5.07962,9.88308,
