Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,
1.16302,0.165696,-0.0195926,0.0283936,1.19055,-0.00698896,-0.000465233,0,-0.00266658,9.84175e-05,-0.0115959,
1.08675,0.158194,-0.0203419,0.0288237,1.11462,0.00625089,-0.000105537,0,0.00507593,0.000133129,-0.0116188,
1.09361,0.159311,-0.0188415,0.0292248,1.12003,0.00766311,-0.000417347,0,0.00391405,-5.46698e-05,-0.0116941,
1.12519,0.167954,-0.019232,0.0296595,1.15275,-0.000301493,-0.00113351,0,-0.00359746,4.47536e-05,-0.011804,
1.14145,0.168105,-0.0224787,0.0300156,1.17209,-0.00873128,-0.000246899,0,-0.0042535,-6.95183e-05,-0.0117683,
1.08401,0.163569,-0.0236355,0.0304795,1.11561,0.00360052,-0.000158373,0,0.00428824,7.95759e-05,-0.01199,
1.09247,0.163219,-0.0214664,0.0308929,1.12176,0.00602073,-0.000432625,0,-8.7616e-05,4.84267e-05,-0.0117126,
1.15177,0.169276,-0.0222877,0.0313424,1.18213,-0.00562265,-4.82128e-05,0,-0.00543935,2.55578e-05,-0.0117875,
1.12331,0.161736,-0.0261578,0.0316264,1.15681,-0.00505907,7.00557e-05,0,0.000491122,-6.76215e-06,-0.0117438,
1.0472,0.146724,-0.027017,0.0320742,1.08032,0.00584418,2.43023e-05,0,0.00594678,-1.34074e-05,-0.0117335,
1.05465,0.14937,-0.0268342,0.032464,1.08778,0.00763102,-0.000684034,0,0.00239915,-8.93811e-05,-0.0117381,
1.11253,0.155463,-0.0251124,0.0329398,1.14422,-0.00156461,0.000116841,0,-0.00309307,2.34235e-05,-0.0117609,
1.13942,0.157877,-0.0260527,0.0332742,1.17212,-0.00942259,0.000142133,0,-0.0042764,-0.000190975,-0.0117809,
1.06511,0.146159,-0.0293284,0.0337155,1.1002,0.00366021,0.000384824,0,0.00587384,-2.32601e-05,-0.0118979,
1.05991,0.150267,-0.029513,0.0341195,1.0956,0.00778385,-0.000887946,0,0.00504223,-0.00012523,-0.0117937,
1.11553,0.155943,-0.0276448,0.0346677,1.14959,-0.00283818,0.000282175,0,-0.00490556,0.000108441,-0.0117997,
1.11144,0.156268,-0.0280573,0.0351443,1.14592,-0.00724573,-3.77993e-06,0,-0.00227515,0.000246495,-0.011752,
1.0691,0.155868,-0.0309556,0.0356453,1.1066,-0.000903766,-0.000479274,0,0.00325013,0.00065102,-0.011642,
1.04527,0.149739,-0.0293574,0.035976,1.08063,0.00829199,0.00133572,0,0.00305518,0.000720038,-0.011731,
1.09028,0.157822,-0.0294875,0.0363424,1.12634,-0.000582714,0.000614951,0,-0.000825793,0.00100704,-0.0116931,
1.11672,0.164803,-0.0318123,0.0365041,1.15568,-0.00911757,0.000387253,0,-0.00482711,0.000916994,-0.0116685,
1.08398,0.167693,-0.0334112,0.0365712,1.12506,-0.00327385,-0.000699777,0,0.00177012,0.000195561,-0.00977405,
1.05438,0.136983,-0.0318748,0.0303227,1.09148,0.00645378,-0.0141859,0,0.00703303,-0.0239747,-0.0112513,
1.06105,0.0661113,-0.0297452,0.0178671,1.09186,0.0039254,-0.0497681,0,0.00132423,-0.0724962,-0.011852,
1.07693,-0.0582295,-0.031155,0.00950064,1.11015,-0.00765597,-0.0865332,0,-0.00455931,-0.12329,-0.0123813,
1.04662,-0.231272,-0.0307627,0.0227569,1.10693,-0.00573633,-0.10054,0,-1.6762e-05,-0.153313,-0.0118297,
1.00855,-0.413619,-0.0308678,0.049384,1.13788,0.00464836,-0.0991785,0,0.00351375,-0.166486,-0.0114309,
1.02795,-0.531507,-0.0294052,0.0989124,1.23103,0.00140761,-0.0902901,0,-0.000727643,-0.173417,-0.0111029,
1.04754,-0.652169,-0.0303674,0.167239,1.354,-0.0073803,-0.0770957,0,-0.00627415,-0.176071,-0.0109363,
0.998369,-0.764713,-0.0339447,0.252836,1.44951,-0.00610542,-0.0621132,0,-0.00254698,-0.177082,-0.0102922,
0.899949,-0.897256,-0.0352275,0.354011,1.56212,0.00603576,-0.0469146,0,0.00603882,-0.177298,-0.00964095,
0.875645,-0.985103,-0.0342681,0.473409,1.71907,0.00955101,-0.0313859,0,0.00246594,-0.17732,-0.00847117,
0.908223,-1.03912,-0.0355429,0.608394,1.89868,-0.00322263,-0.0156634,0,-0.00329309,-0.177311,-0.00695183,
0.892334,-1.08459,-0.0371662,0.783183,2.08627,-0.00831785,-0.000139806,0,0.00104727,-0.17726,-0.0055783,
0.796127,-1.04029,-0.0398993,0.928654,2.13909,0.00398299,0.00152767,0,0.00772117,-0.177055,-0.00385337,
0.777984,-0.924562,-0.0414252,1.15172,2.23212,0.00731809,0.000375161,0,0.00833764,-0.176872,-0.00248033,
0.812166,-0.727876,-0.0395057,1.32959,2.22677,-0.0015469,0.00952417,0,-0.000679079,-0.16383,-0.000692234,
0.833159,-0.496414,-0.0391459,1.60772,2.27778,-0.00999586,0.034711,0,-0.000283739,-0.125979,0.000723329,
