Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,Altitude,
-0.00490638,0.0207339,-0.00490638,0.0207339,0,-0.0036836,-6.64699e-05,-0,0.00585769,2.13358e-05,0,9.86507,
0.182749,-0.047455,-0.00273742,0.0208355,0.197658,-0.0811646,-7.87326e-05,-0.015103,0.00213156,5.13303e-05,0,9.86508,
0.251299,-0.0766031,-0.000331689,0.0209406,0.269875,-0.0800935,6.91075e-05,-0.0154578,-0.00542784,-6.19634e-05,0,9.86527,
0.0309539,-0.018191,-0.00173448,0.0209799,0.0510185,-0.00747779,-0.000456999,-0.00281512,-0.00220161,-5.53477e-05,0,9.86539,
-0.104021,0.0125728,-0.00175975,0.0210739,0.102614,0.00561052,0.000719808,-0.00283015,0.00592794,-4.49127e-05,0,9.86561,
0.089939,-0.072831,0.00200136,0.0213077,0.128822,-0.0779873,-0.000478977,-0.0179538,0.00161892,0.000102491,0,9.86572,
0.276955,-0.153751,0.00358344,0.0213794,0.324658,-0.115559,-0.000500417,-0.0270576,-0.00483921,-5.43278e-05,0,9.86606,
0.0728264,-0.186925,0.00237306,0.0214662,0.219979,-0.048187,-0.000253138,-0.0130965,-0.0031095,4.9524e-05,0,9.86635,
-0.19336,-0.139134,0.00257124,0.0215743,0.253409,0.00928334,-0.000170498,-0.00470549,0.00322616,0.000104107,0,9.86678,
-0.0961669,-0.171439,0.00443426,0.0217553,0.217818,-0.0487814,-0.000198575,-0.0136378,0.002925,0.000278037,0,9.86729,
0.0927409,-0.247815,0.00800977,0.0218535,0.282666,-0.0957902,-0.000344628,-0.0250992,-0.00461178,0.000121963,0,9.86761,
-0.0244316,-0.282628,0.00780634,0.0218442,0.306174,-0.0505271,-0.000683512,-0.0177216,-0.00557703,1.33883e-05,0,9.86811,
-0.240942,-0.260525,0.00619521,0.0218064,0.375217,-0.00219222,-0.000320353,-0.0110024,0.00343391,-5.36442e-05,0,9.86847,
-0.149456,-0.302073,0.0071954,0.0219149,0.359872,-0.0563726,-0.000572792,-0.0179698,0.0036123,0.00010227,0,9.86887,
0.0260254,-0.37718,0.0108111,0.0220034,0.399473,-0.0994299,-0.000609523,-0.02869,-0.00458228,-1.09719e-05,0,9.86914,
-0.108615,-0.425357,0.0103686,0.0220411,0.462949,-0.0406485,-0.001021,-0.0170193,-0.00485326,6.72346e-05,0,9.86952,
-0.395208,-0.371655,0.00829899,0.0219445,0.563683,0.0302822,-0.000408522,-0.00623615,0.00229307,-0.000135913,0,9.86982,
-0.365008,-0.388447,0.00916484,0.0220208,0.555418,-0.014756,-6.948e-05,-0.00819705,0.00424598,-8.2076e-05,0,9.87013,
-0.140456,-0.46904,0.0127642,0.0221534,0.514537,-0.0797382,-0.000396525,-0.0205407,-0.0032394,-9.06053e-05,0,9.87036,
-0.148168,-0.492247,0.0115159,0.0222262,0.538685,-0.053743,0.00147904,-0.0160477,-0.00637374,1.65727e-05,0,9.87061,
