Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,Altitude,
2.87231,38.0358,2.87231,38.0358,0,-0.0129221,-0.118454,0.299366,0.0211427,-0.065561,-0.299366,9.09989,
2.87617,38.0636,2.89084,38.4378,0.37445,-0.0189994,-0.119582,0.299583,0.0196727,-0.0625247,-0.297896,9.29988,
2.90184,38.1555,2.89084,38.4378,0.282481,-0.0219664,-0.112044,0.301919,0.0182227,-0.0614454,-0.296736,9.29988,
2.95196,38.229,2.90937,38.8523,0.624733,-0.0318267,-0.114511,0.300351,0.0147227,-0.0604157,-0.296236,9.39988,
2.99432,38.3897,2.90937,38.8523,0.470326,-0.0240765,-0.106232,0.299644,0.0129427,-0.0601922,-0.295926,9.39988,
3.03754,38.4999,2.94644,39.2417,0.74734,-0.0321666,-0.115079,0.3017,0.0133227,-0.0607306,-0.296996,9.59988,
3.08812,38.6084,2.94644,39.2417,0.648929,-0.0353497,-0.118452,0.303505,0.0107127,-0.0626302,-0.298126,9.59988,
3.14628,38.6998,2.9835,39.6311,0.945399,-0.0432376,-0.12721,0.307081,0.00813265,-0.0659657,-0.298276,9.69988,
3.22049,38.8103,2.9835,39.6311,0.85435,-0.0493585,-0.126797,0.306269,0.00373265,-0.0678981,-0.297806,9.69988,
3.30905,38.9091,3.03909,40.0205,1.14374,-0.0552027,-0.128902,0.305335,-0.00222265,-0.0679126,-0.297196,9.89987,
3.39244,39.1085,3.03909,40.0205,0.978066,-0.0465196,-0.116176,0.303977,-0.00636265,-0.065988,-0.296236,9.89987,
3.45205,39.323,3.11322,40.3974,1.12654,-0.0469703,-0.108032,0.303793,-0.00565265,-0.0658671,-0.295386,9.99987,
3.50532,39.4469,3.18734,40.7617,1.35267,-0.0483127,-0.118904,0.302361,-0.00757265,-0.0656663,-0.295896,10.1999,
3.54333,39.5747,3.18734,40.7617,1.23928,-0.0481191,-0.119899,0.301944,-0.00699265,-0.065466,-0.294866,10.1999,
3.56877,39.7202,3.18734,40.7617,1.10915,-0.0501786,-0.119529,0.302838,-0.00193265,-0.0675376,-0.294976,10.1999,
3.61202,39.8976,3.26146,41.1134,1.26529,-0.0550082,-0.114822,0.301706,-0.00329265,-0.0684706,-0.295726,10.1999,
3.71543,40.0731,3.26146,41.1134,1.13502,-0.0678261,-0.10227,0.295694,-0.0105927,-0.0617458,-0.294746,10.1999,
3.81346,40.244,3.33559,41.44,1.28791,-0.0637782,-0.0906318,0.292742,-0.0176827,-0.0555314,-0.294946,10.2999,
3.90505,40.4022,3.42824,41.7791,1.45711,-0.0668315,-0.0844954,0.289199,-0.0230027,-0.0489533,-0.294686,10.2999,
3.95405,40.5174,3.42824,41.7791,1.36687,-0.0598447,-0.085684,0.286858,-0.0202927,-0.0446397,-0.294066,10.2999,
3.94562,40.6546,3.42824,41.7791,1.23786,-0.0502188,-0.0854014,0.285161,-0.0149527,-0.0422065,-0.294346,10.2999,
3.92541,40.9214,3.50236,42.1057,1.2576,-0.0361847,-0.0705074,0.284063,-0.00962265,-0.0440235,-0.294186,10.2999,
3.9068,41.1804,3.50236,42.1057,1.00983,-0.0296963,-0.0671354,0.282343,-0.00798265,-0.047339,-0.294386,10.2999,
3.91206,41.4022,3.59502,42.4198,1.06586,-0.0284549,-0.0699146,0.282878,-0.00432265,-0.0520404,-0.293746,10.3999,
3.92886,41.5762,3.68767,42.7212,1.17011,-0.029264,-0.0770874,0.285502,-0.00334265,-0.0528744,-0.294126,10.3999,
3.95878,41.7616,3.68767,42.7212,0.997191,-0.0294067,-0.0724314,0.284265,-0.00420265,-0.0545556,-0.294236,10.3999,
4.01234,41.9641,3.78032,43.0227,1.08372,-0.0296931,-0.0639837,0.282208,-0.00674265,-0.0506151,-0.294706,10.3999,
4.05153,42.1466,3.78032,43.0227,0.917104,-0.0282899,-0.0568788,0.278664,-0.00437265,-0.0464618,-0.293936,10.3999,
4.06839,42.3402,3.78032,43.0227,0.740783,-0.0244483,-0.0470709,0.275046,-0.00201265,-0.0422689,-0.293286,10.3999,
4.09555,42.5165,3.87298,43.3242,0.837772,-0.0299895,-0.0384018,0.271386,-0.000732654,-0.0387025,-0.293316,10.3999,
4.12897,42.6864,3.87298,43.3242,0.687262,-0.025558,-0.0296672,0.26798,-0.00239265,-0.0314792,-0.293166,10.3999,
4.19321,42.816,3.96563,43.6131,0.82896,-0.0356119,-0.0224911,0.263099,-0.00489265,-0.0282609,-0.293106,10.4998,
4.29233,42.8235,3.96563,43.6131,0.854547,-0.0498104,-0.0336027,0.26173,-0.0148127,-0.0298549,-0.294386,10.4998,
4.42712,42.8745,4.05828,43.8894,1.07988,-0.0536889,-0.0361226,0.263013,-0.0234327,-0.0367326,-0.294876,10.6998,
4.58611,42.9121,4.05828,43.8894,1.11071,-0.0604294,-0.0443886,0.263694,-0.0359027,-0.0465327,-0.294946,10.6998,
4.73287,42.9673,4.15094,44.1658,1.33231,-0.0646146,-0.0487565,0.262483,-0.0410127,-0.0495364,-0.294366,10.9998,
4.84906,43.0374,4.15094,44.1658,1.32686,-0.0640711,-0.0492946,0.26127,-0.0444027,-0.0469448,-0.294916,10.9998,
4.92277,43.1518,4.24359,44.4421,1.45809,-0.0599551,-0.0445219,0.258366,-0.0448827,-0.0491264,-0.295166,11.1998,
4.94659,43.2859,4.24359,44.4421,1.35315,-0.0468706,-0.0464895,0.257206,-0.0395927,-0.0499775,-0.295286,11.1998,
4.9365,43.4702,4.31771,44.7185,1.39329,-0.0354721,-0.0436177,0.255622,-0.0328427,-0.0502694,-0.295776,11.3998,
4.91354,43.73,4.31771,44.7185,1.15416,-0.0215201,-0.0299962,0.255005,-0.0259327,-0.0460463,-0.296136,11.3998,
4.87292,43.9819,4.39183,44.9948,1.12132,-0.0159288,-0.0182441,0.252261,-0.0178427,-0.0414718,-0.296536,11.4998,
4.83826,44.1704,4.39183,44.9948,0.937511,-0.015219,-0.0163029,0.251066,-0.0126127,-0.032842,-0.296406,11.4998,
4.81076,44.3157,4.46596,45.2586,1.00395,-0.0111633,-0.0111078,0.246113,-0.0115727,-0.0270741,-0.296726,11.5998,
4.8025,44.4106,4.46596,45.2586,0.912366,-0.0110057,-0.0112648,0.243724,-0.00927265,-0.0206559,-0.297066,11.5998,
4.81995,44.4839,4.54008,45.5224,1.07555,-0.0146109,-0.00568097,0.23997,-0.0142127,-0.0147021,-0.298386,11.7998,
4.86322,44.5929,4.54008,45.5224,0.984049,-0.00851173,0.00105726,0.238092,-0.0171427,-0.0111872,-0.297616,11.7998,
4.91839,44.7472,4.59567,45.7862,1.08793,-0.00700364,0.0087374,0.236092,-0.0195827,-0.0136666,-0.296766,11.8998,
4.98274,44.9062,4.59567,45.7862,0.961362,-0.0069888,0.00998358,0.234556,-0.0205927,-0.0162632,-0.297406,11.8998,
5.05512,44.9857,4.65127,46.0626,1.15011,-0.0112141,-0.00174121,0.238753,-0.0232727,-0.0183143,-0.297886,12.0998,
5.13308,45.0503,4.72539,46.3515,1.36361,-0.0120555,-0.00919363,0.244303,-0.0245727,-0.0172481,-0.298236,12.1998,
5.2053,45.0846,4.72539,46.3515,1.35471,-0.0193437,-0.0176137,0.249148,-0.0261827,-0.0197959,-0.299066,12.1998,
5.27152,45.1939,4.72539,46.3515,1.27995,-0.0145245,-0.0130214,0.247842,-0.0276827,-0.019876,-0.299126,12.1998,
5.3394,45.3345,4.78098,46.6404,1.42027,-0.0160931,-0.0113256,0.247639,-0.0301327,-0.023902,-0.298946,12.3998,
5.4093,45.4983,4.78098,46.6404,1.30348,-0.0186997,-0.00996603,0.24878,-0.0320027,-0.0263145,-0.299366,12.3998,
5.46997,45.6343,4.83658,46.9419,1.45296,-0.0161423,-0.01445,0.250641,-0.0319327,-0.0260518,-0.300016,12.4998,
5.49039,45.6347,4.83658,46.9419,1.46154,-0.0180895,-0.0323683,0.25527,-0.0292527,-0.0249106,-0.300816,12.4998,
5.48342,45.6622,4.87364,47.2433,1.69458,-0.0153831,-0.0406856,0.25815,-0.0204927,-0.0265117,-0.301706,12.5998,
5.44618,45.8241,4.87364,47.2433,1.53038,-0.00442273,-0.0336386,0.258925,-0.0120827,-0.0266645,-0.302436,12.5998,
5.41925,46.0064,4.92923,47.5448,1.61458,0.00395141,-0.0307527,0.257534,-0.00962265,-0.0256353,-0.301566,12.5998,
5.41838,46.1557,4.9663,47.8588,1.76204,-0.00518298,-0.0277519,0.254837,-0.0101127,-0.021646,-0.300356,12.6998,
5.4599,46.3409,4.9663,47.8588,1.5961,-0.005362,-0.0136045,0.248011,-0.0139827,-0.016922,-0.300016,12.6998,
5.51991,46.4462,5.00336,48.1729,1.80228,-0.0156595,-0.0156504,0.244696,-0.0179727,-0.0148422,-0.299216,12.8998,
5.59379,46.5101,5.00336,48.1729,1.76456,-0.022971,-0.0179113,0.243511,-0.0211227,-0.0147598,-0.297806,12.8998,
5.67128,46.6022,5.00336,48.1729,1.70681,-0.0246688,-0.0171118,0.241958,-0.0248227,-0.0150158,-0.298356,12.8998,
5.754,46.6997,5.04042,48.4869,1.9244,-0.0239726,-0.0188952,0.24139,-0.0278627,-0.0147981,-0.298436,12.9998,
5.80581,46.7633,5.05895,48.8135,2.18199,-0.021467,-0.0296621,0.24577,-0.0264827,-0.0175668,-0.297866,13.1998,
5.83691,46.845,5.05895,48.8135,2.1167,-0.0161926,-0.038456,0.249841,-0.0241827,-0.0218034,-0.298536,13.1998,
5.85264,46.9417,5.05895,48.8135,2.03309,-0.0169439,-0.0456754,0.253181,-0.0200227,-0.0243173,-0.297716,13.1998,
5.85604,47.0731,5.09602,49.1401,2.20228,-0.0110344,-0.0479616,0.252545,-0.0158627,-0.0265839,-0.298176,13.2998,
5.85848,47.23,5.13308,49.4667,2.35139,-0.0101224,-0.0417175,0.246086,-0.0138127,-0.0236411,-0.299446,13.4998,
5.86607,47.4079,5.13308,49.4667,2.18538,-0.0070559,-0.0324442,0.240759,-0.0102927,-0.0173647,-0.299506,13.4998,
5.85585,47.582,5.13308,49.4667,2.01854,-0.0045548,-0.0255806,0.23838,-0.00603265,-0.0139302,-0.300466,13.4998,
5.8371,47.6923,5.17014,49.8059,2.21637,0.000901768,-0.0304863,0.238096,-0.00142265,-0.012034,-0.302436,13.5998,
5.83631,47.7904,5.17014,49.8059,2.12274,-0.00360818,-0.0378982,0.244164,0.000542654,-0.0145067,-0.303446,13.5998,
5.8404,47.9433,5.20721,50.145,2.29099,0.00170735,-0.0366709,0.244115,0.00295265,-0.0180864,-0.305316,13.7998,
5.86433,48.0704,5.24427,50.4842,2.49216,0.00243202,-0.0451241,0.24999,0.00398265,-0.0219881,-0.308306,13.8998,
5.89625,48.3181,5.24427,50.4842,2.2621,0.00646699,-0.0334586,0.250445,0.00762265,-0.0214212,-0.309486,13.8998,
5.92781,48.6118,5.29987,50.8233,2.29896,0.0143169,-0.0171266,0.247542,0.0105927,-0.016574,-0.310656,13.9998,
5.94472,48.7814,5.29987,50.8233,2.14127,0.00912217,-0.0191808,0.246725,0.0127527,-0.0115477,-0.311466,13.9998,
5.97409,48.8765,5.35546,51.1625,2.36825,0.0057291,-0.022788,0.247322,0.0131527,-0.00810316,-0.311376,14.1998,
6.0201,48.9416,5.35546,51.1625,2.31823,-0.00450861,-0.0264145,0.249813,0.0106227,-0.00570021,-0.311626,14.1998,
6.09054,48.9603,5.35546,51.1625,2.32164,-0.0142176,-0.0325228,0.254823,0.00912265,-0.00235001,-0.311836,14.1998,
