Total Offset X,Total Offset Y,Actual X,Actual Y,L2 error,Roll,Pitch,Yaw,Actual Roll,Actual Pitch,Actual Yaw,Altitude,
2.87231,38.0358,2.87231,38.0358,0,0.0136257,-0.103478,0.299466,0.0211427,-0.065561,-0.299366,9.09989,
2.8799,38.0814,2.89084,38.4378,0.356604,0.00943289,-0.0990742,0.298982,0.0196727,-0.0625247,-0.297896,9.29988,
2.92145,38.1856,2.89084,38.4378,0.254014,0.00619895,-0.0920106,0.299515,0.0182227,-0.0614454,-0.296736,9.29988,
2.98829,38.2989,2.90937,38.8523,0.559046,-0.000160908,-0.09079,0.298286,0.0147227,-0.0604157,-0.296236,9.39988,
3.04784,38.4659,2.90937,38.8523,0.410451,0.0020677,-0.084507,0.298298,0.0129427,-0.0601922,-0.295926,9.39988,
3.09409,38.6288,2.94644,39.2417,0.630452,0.000654016,-0.0880867,0.300441,0.0133227,-0.0607306,-0.296996,9.59988,
3.15779,38.7898,2.94644,39.2417,0.498899,-0.00259865,-0.0877539,0.300693,0.0107127,-0.0626302,-0.298126,9.59988,
3.23373,38.942,2.9835,39.6311,0.733163,-0.00787508,-0.0921849,0.301833,0.00813265,-0.0659657,-0.298276,9.69988,
3.326,39.0902,2.9835,39.6311,0.640259,-0.0132656,-0.0937106,0.30167,0.00373265,-0.0678981,-0.297806,9.69988,
3.44947,39.2387,3.03909,40.0205,0.882982,-0.0206795,-0.0910565,0.29871,-0.00222265,-0.0679126,-0.297196,9.89987,
3.5611,39.4145,3.03909,40.0205,0.799832,-0.0197208,-0.0862204,0.297793,-0.00636265,-0.065988,-0.296236,9.89987,
3.63938,39.5976,3.11322,40.3974,0.95736,-0.0211603,-0.0819308,0.296877,-0.00565265,-0.0658671,-0.295386,9.99987,
3.72462,39.7139,3.18734,40.7617,1.17749,-0.0268731,-0.0906733,0.297872,-0.00757265,-0.0656663,-0.295896,10.1999,
3.78872,39.8298,3.18734,40.7617,1.10913,-0.0291853,-0.0920418,0.295808,-0.00699265,-0.065466,-0.294866,10.1999,
3.81883,39.9681,3.18734,40.7617,1.01416,-0.0273385,-0.0936076,0.296657,-0.00193265,-0.0675376,-0.294976,10.1999,
3.85947,40.1515,3.26146,41.1134,1.13266,-0.0289721,-0.089154,0.295791,-0.00329265,-0.0684706,-0.295726,10.1999,
3.97493,40.3137,3.26146,41.1134,1.07173,-0.0416085,-0.0821585,0.293388,-0.0105927,-0.0617458,-0.294746,10.1999,
4.0901,40.4408,3.33559,41.44,1.25207,-0.0423048,-0.0752395,0.291247,-0.0176827,-0.0555314,-0.294946,10.2999,
4.1999,40.5867,3.42824,41.7791,1.42031,-0.0444269,-0.067099,0.287634,-0.0230027,-0.0489533,-0.294686,10.2999,
4.24917,40.7308,3.42824,41.7791,1.3315,-0.0367175,-0.0605338,0.28459,-0.0202927,-0.0446397,-0.294066,10.2999,
4.23082,40.8527,3.42824,41.7791,1.22573,-0.0298275,-0.0641921,0.282921,-0.0149527,-0.0422065,-0.294346,10.2999,
4.1906,41.0546,3.50236,42.1057,1.25636,-0.0193571,-0.0570857,0.281943,-0.00962265,-0.0440235,-0.294186,10.2999,
4.16982,41.2332,3.50236,42.1057,1.09849,-0.0195901,-0.060023,0.282475,-0.00798265,-0.047339,-0.294386,10.2999,
4.16177,41.4169,3.59502,42.4198,1.15195,-0.0155411,-0.0618688,0.282615,-0.00432265,-0.0520404,-0.293746,10.3999,
4.16677,41.5747,3.68767,42.7212,1.24254,-0.0149152,-0.0672275,0.282784,-0.00334265,-0.0528744,-0.294126,10.3999,
4.1843,41.7625,3.68767,42.7212,1.07971,-0.0116904,-0.062135,0.281734,-0.00420265,-0.0545556,-0.294236,10.3999,
4.24506,41.9506,3.78032,43.0227,1.16848,-0.0140805,-0.0557944,0.281218,-0.00674265,-0.0506151,-0.294706,10.3999,
4.28697,42.1068,3.78032,43.0227,1.04668,-0.0136333,-0.052927,0.279026,-0.00437265,-0.0464618,-0.293936,10.3999,
4.29293,42.2848,3.78032,43.0227,0.898505,-0.00670477,-0.0441165,0.276922,-0.00201265,-0.0422689,-0.293286,10.3999,
4.30806,42.4824,3.87298,43.3242,0.947618,-0.00428174,-0.0340424,0.275152,-0.000732654,-0.0387025,-0.293316,10.3999,
4.35562,42.6399,3.87298,43.3242,0.837394,-0.00619229,-0.0270546,0.270993,-0.00239265,-0.0314792,-0.293166,10.3999,
4.45633,42.7365,3.96563,43.6131,1.00459,-0.0194491,-0.0256254,0.269932,-0.00489265,-0.0282609,-0.293106,10.4998,
4.60231,42.7832,3.96563,43.6131,1.04598,-0.0310181,-0.0300661,0.269884,-0.0148127,-0.0298549,-0.294386,10.4998,
4.76704,42.8273,4.05828,43.8894,1.27683,-0.0376354,-0.0367915,0.269585,-0.0234327,-0.0367326,-0.294876,10.6998,
4.9716,42.8547,4.05828,43.8894,1.3801,-0.0492457,-0.0478959,0.27331,-0.0359027,-0.0465327,-0.294946,10.6998,
5.14875,42.9293,4.15094,44.1658,1.58887,-0.0522661,-0.050664,0.272815,-0.0410127,-0.0495364,-0.294366,10.9998,
5.28027,43.054,4.15094,44.1658,1.58475,-0.049873,-0.045277,0.272804,-0.0444027,-0.0469448,-0.294916,10.9998,
5.35083,43.1613,4.24359,44.4421,1.69309,-0.046605,-0.0474124,0.273231,-0.0448827,-0.0491264,-0.295166,11.1998,
5.36065,43.2698,4.24359,44.4421,1.61926,-0.0398907,-0.051644,0.275267,-0.0395927,-0.0499775,-0.295286,11.1998,
5.32625,43.4159,4.31771,44.7185,1.64737,-0.031974,-0.0528171,0.275605,-0.0328427,-0.0502694,-0.295776,11.3998,
5.26294,43.5867,4.31771,44.7185,1.47456,-0.0229969,-0.0480844,0.27348,-0.0259327,-0.0460463,-0.296136,11.3998,
5.17442,43.8004,4.39183,44.9948,1.42793,-0.0118523,-0.0357036,0.271571,-0.0178427,-0.0414718,-0.296536,11.4998,
5.11452,43.994,4.39183,44.9948,1.23447,-0.00894854,-0.0292741,0.269786,-0.0126127,-0.032842,-0.296406,11.4998,
5.07805,44.1544,4.46596,45.2586,1.26253,-0.0058168,-0.0222878,0.266228,-0.0115727,-0.0270741,-0.296726,11.5998,
5.07427,44.2953,4.46596,45.2586,1.13929,-0.00611066,-0.0178429,0.265488,-0.00927265,-0.0206559,-0.297066,11.5998,
5.10831,44.4178,4.54008,45.5224,1.24218,-0.00770619,-0.0104394,0.265891,-0.0142127,-0.0147021,-0.298386,11.7998,
5.17073,44.5175,4.54008,45.5224,1.18642,-0.00844712,-0.00863743,0.265449,-0.0171427,-0.0111872,-0.297616,11.7998,
5.23221,44.6117,4.59567,45.7862,1.33587,-0.00879502,-0.00918221,0.26329,-0.0195827,-0.0136666,-0.296766,11.8998,
5.29064,44.7582,4.59567,45.7862,1.24086,-0.00633715,-0.00593602,0.262117,-0.0205927,-0.0162632,-0.297406,11.8998,
5.3634,44.8866,4.65127,46.0626,1.37478,-0.00930799,-0.00856279,0.262066,-0.0232727,-0.0183143,-0.297886,12.0998,
5.43843,44.9535,4.72539,46.3515,1.56931,-0.0125219,-0.0173071,0.263521,-0.0245727,-0.0172481,-0.298236,12.1998,
5.51122,45.0042,4.72539,46.3515,1.55969,-0.0170615,-0.0228946,0.263808,-0.0261827,-0.0197959,-0.299066,12.1998,
5.5716,45.0918,4.72539,46.3515,1.5175,-0.0154003,-0.0226376,0.263103,-0.0276827,-0.019876,-0.299126,12.1998,
5.63381,45.1973,4.78098,46.6404,1.67622,-0.0167174,-0.025212,0.264019,-0.0301327,-0.023902,-0.298946,12.3998,
5.70077,45.3022,4.78098,46.6404,1.62385,-0.0195732,-0.0286439,0.263226,-0.0320027,-0.0263145,-0.299366,12.3998,
5.7521,45.4022,4.83658,46.9419,1.79135,-0.0184105,-0.032827,0.263771,-0.0319327,-0.0260518,-0.300016,12.4998,
5.76135,45.421,4.83658,46.9419,1.78,-0.0200952,-0.0451304,0.266445,-0.0292527,-0.0249106,-0.300816,12.4998,
5.72514,45.4804,4.87364,47.2433,1.95778,-0.0149172,-0.0515389,0.269776,-0.0204927,-0.0265117,-0.301706,12.5998,
5.64552,45.658,4.87364,47.2433,1.76325,-0.00539117,-0.0451063,0.2709,-0.0120827,-0.0266645,-0.302436,12.5998,
5.58838,45.8471,4.92923,47.5448,1.8212,-0.00105947,-0.0424702,0.269985,-0.00962265,-0.0256353,-0.301566,12.5998,
5.58634,46.0594,4.9663,47.8588,1.90326,-0.00088398,-0.0339796,0.269396,-0.0101127,-0.021646,-0.300356,12.6998,
